#caseId; HolidayType; Price; NumberOfPersons; Region; Transportation; Duration; Season; Accommodation; Hotel
Journey1;Bathing;2498;2;Egypt;Plane;14;April;TwoStars;Hotel White House, Egypt
Journey2;Bathing;3066;3;Egypt;Plane;21;May;TwoStars;Hotel White House, Egypt
Journey3;Active;2778;2;Egypt;Plane;14;June;TwoStars;Hotel Geisum, Egypt
Journey4;Bathing;3195;3;Egypt;Plane;7;July;ThreeStars;Hotel Al Mashrabia, Egypt
Journey5;Bathing;3158;2;Egypt;Plane;14;September;ThreeStars;Hotel Al Mashrabia, Egypt
Journey6;Active;3318;2;Egypt;Plane;14;October;ThreeStars;Hotel Al Mashrabia, Egypt
Journey7;Bathing;2458;2;Egypt;Plane;14;June;FourStars;Hotel Winter Palace, Egypt
Journey8;Active;2649;3;Egypt;Plane;7;July;FourStars;Hotel Winter Palace, Egypt
Journey9;Education;4638;2;Egypt;Plane;21;April;FourStars;Anlage Arabia Beach, Egypt
Journey10;Education;3738;2;Egypt;Plane;14;October;FourStars;Anlage Arabia Beach, Egypt
Journey11;City;1978;2;Cairo;Plane;7;April;ThreeStars;Hotel Victoria, Cairo
Journey12;City;1898;2;Cairo;Plane;7;May;ThreeStars;Hotel Victoria, Cairo
Journey13;City;2158;2;Cairo;Plane;14;June;ThreeStars;Hotel Victoria, Cairo
Journey14;City;1898;2;Cairo;Plane;7;September;ThreeStars;Hotel Victoria, Cairo
Journey15;City;1154;1;Cairo;Plane;7;October;ThreeStars;Hotel New Marwa Palace, Cairo
Journey16;City;2308;2;Cairo;Plane;7;April;ThreeStars;Hotel New Marwa Palace, Cairo
Journey17;City;2658;2;Cairo;Plane;7;May;ThreeStars;Hotel New Marwa Palace, Cairo
Journey18;City;1269;1;Cairo;Plane;14;July;ThreeStars;Hotel New Marwa Palace, Cairo
Journey19;City;2608;2;Cairo;Plane;7;May;FiveStars;Hotel Moevenpick, Cairo
Journey20;City;2468;2;Cairo;Plane;7;August;FiveStars;Hotel Moevenpick, Cairo
Journey21;Recreation;1568;2;Belgium;Car;14;May;TwoStars;Hotel Ostend, Belgium
Journey22;Active;798;3;Belgium;Car;7;June;TwoStars;Hotel Ostend, Belgium
Journey23;Recreation;978;3;Belgium;Car;7;July;ThreeStars;Acces Hotel Mercure, Belgium
Journey24;Recreation;978;2;Belgium;Car;7;August;ThreeStars;Acces Hotel Mercure, Belgium
Journey25;Active;1448;3;Belgium;Car;14;September;HolidayFlat;H.Flat, Belgium
Journey26;Recreation;1638;4;Belgium;Car;14;June;HolidayFlat;H.Flat, Belgium
Journey27;Recreation;1079;4;Belgium;Car;7;July;HolidayFlat;H.Flat, Belgium
Journey28;Bathing;499;4;Belgium;Car;3;August;HolidayFlat;H.Flat, Belgium
Journey29;Bathing;399;6;Belgium;Car;3;September;HolidayFlat;H.Flat, Belgium
Journey30;Recreation;1928;2;Belgium;Train;14;July;ThreeStars;Acces Hotel Mercure, Belgium
Journey31;Bathing;1598;2;Bulgaria;Plane;14;June;TwoStars;Hotel Amfibia, Sunny Beach
Journey32;Bathing;2043;3;Bulgaria;Plane;14;July;TwoStars;Hotel Hemus, Sunny Beach
Journey33;Bathing;1658;4;Bulgaria;Plane;7;August;TwoStars;Hotel Raliza, Albena
Journey34;Bathing;1558;2;Bulgaria;Plane;7;July;ThreeStars;Hotel Phoenix, Sunny Beach
Journey35;Active;1718;2;Bulgaria;Plane;14;June;ThreeStars;Hotel Nessebar, Sunny Beach
Journey36;Bathing;1383;3;Bulgaria;Plane;7;August;ThreeStars;Hotel Gergana, Albena
Journey37;Bathing;3628;4;Bulgaria;Plane;21;August;ThreeStars;Hotel Orlav, Albena
Journey38;Active;2739;3;Bulgaria;Plane;14;July;FourStars;Hotel Burgas, Sunny Beach
Journey39;Bathing;2399;2;Bulgaria;Plane;14;September;FourStars;Grandhotel Varna, Albena
Journey40;Bathing;2273;3;Bornholm;Car;14;August;HolidayFlat;H.Flat Bornholm
Journey41;Bathing;1729;5;Bornholm;Car;7;July;HolidayFlat;H.Flat Bornholm
Journey42;Bathing;1389;4;Bornholm;Car;7;July;HolidayFlat;H.Flat Bornholm
Journey43;Recreation;968;6;Bornholm;Car;14;April;HolidayFlat;H.Flat Bornholm
Journey44;Recreation;489;6;Bornholm;Car;7;May;HolidayFlat;H.Flat Bornholm
Journey45;Recreation;489;6;Bornholm;Car;7;September;HolidayFlat;H.Flat Bornholm
Journey46;Bathing;2838;4;Fano;Car;14;July;HolidayFlat;H.Flat Fano
Journey47;Bathing;1399;6;Fano;Car;7;August;HolidayFlat;H.Flat Fano
Journey48;Recreation;958;6;Fano;Car;14;September;HolidayFlat;H.Flat Fano
Journey49;Recreation;579;3;Fano;Car;7;June;HolidayFlat;H.Flat Romo
Journey50;Recreation;789;5;Fano;Car;7;May;HolidayFlat;H.Flat Romo
Journey51;Recreation;2839;10;Fano;Car;7;July;HolidayFlat;H.Flat Romo
Journey52;Bathing;629;6;Lolland;Car;7;August;HolidayFlat;H.Flat Lolland
Journey53;Bathing;1598;4;Lolland;Car;14;July;HolidayFlat;H.Flat Lolland
Journey54;Recreation;429;8;Lolland;Car;7;September;HolidayFlat;H.Flat Lolland
Journey55;Recreation;648;2;Allgaeu;Car;7;June;TwoStars;Gasthaus Meier, Allgaeu
Journey56;Wandering;972;4;Allgaeu;Car;7;July;TwoStars;Gasthaus Alpenland, Allgaeu
Journey57;Recreation;1060;3;Allgaeu;Car;7;August;ThreeStars;Hotel Alpspitz, Allgaeu
Journey58;Wandering;2110;3;Allgaeu;Train;14;July;ThreeStars;Hotel Alpspitz, Allgaeu
Journey59;Active;1835;2;Allgaeu;Car;14;June;FiveStars;Hofgut Kuernach, Allgaeu
Journey60;Wandering;951;2;Allgaeu;Car;7;September;FiveStars;Hofgut Kuernach, Allgaeu
Journey61;Recreation;794;4;Allgaeu;Train;7;August;HolidayFlat;H.Flat, Allgaeu
Journey62;Active;814;6;Allgaeu;Car;7;July;HolidayFlat;H.Flat, Allgaeu
Journey63;Wandering;1568;4;Allgaeu;Car;14;June;HolidayFlat;H.Flat, Allgaeu
Journey64;Wandering;644;4;Allgaeu;Car;7;July;HolidayFlat;H.Flat, Allgaeu
Journey65;Recreation;648;2;Alps;Car;7;June;TwoStars;Pension Blueml, Upper Bavaria
Journey66;Wandering;2232;3;Alps;Car;14;July;TwoStars;Pension Blueml, Upper Bavaria
Journey67;Recreation;2082;4;Alps;Car;7;August;ThreeStars;Hotel Chiemgauer Hof, Upper Bavaria
Journey68;Recreation;5185;3;Alps;Car;21;June;ThreeStars;Hotel Chiemgauer Hof, Upper Bavaria
Journey69;Active;2368;2;Alps;Train;14;September;ThreeStars;Hotel Chiemgauer Hof, Upper Bavaria
Journey70;Recreation;3758;2;Alps;Car;21;July;FourStars;Hotel Zur Post, Upper Bavaria
Journey71;Recreation;3135;3;Alps;Car;14;August;FourStars;Hotel Zur Post, Upper Bavaria
Journey72;Wandering;3762;4;Alps;Car;14;July;FourStars;Hotel Zur Post, Upper Bavaria
Journey73;Recreation;1254;4;Alps;Car;7;June;HolidayFlat;H.Flat Upper Bavaria
Journey74;Recreation;814;6;Alps;Train;7;August;HolidayFlat;H.Flat Upper Bavaria
Journey75;Recreation;1361;2;Bavaria;Car;14;September;HolidayFlat;H.Flat Upper Bavaria
Journey76;Recreation;1618;4;Bavaria;Car;14;May;HolidayFlat;H.Flat Upper Bavaria
Journey77;Recreation;1728;2;Bavaria;Train;14;July;HolidayFlat;H.Flat Upper Bavaria
Journey78;Wandering;609;3;Bavaria;Car;7;June;HolidayFlat;H.Flat Upper Bavaria
Journey79;Wandering;1069;6;Bavaria;Car;7;August;HolidayFlat;H.Flat Upper Bavaria
Journey80;Wandering;684;4;Bavaria;Car;7;September;HolidayFlat;H.Flat Upper Bavaria
Journey81;Active;1328;4;Bavaria;Train;14;May;HolidayFlat;H.Flat Upper Bavaria
Journey82;Active;779;2;Bavaria;Car;7;June;HolidayFlat;H.Flat Upper Bavaria
Journey83;Active;1639;5;Bavaria;Car;7;July;HolidayFlat;H.Flat Upper Bavaria
Journey84;Wandering;944;8;Bavaria;Car;7;August;HolidayFlat;H.Flat Upper Bavaria
Journey85;Wandering;758;2;ErzGebirge;Car;7;June;TwoStars;Wolfsgruener Schloss, Erz Gebirge
Journey86;Wandering;758;3;ErzGebirge;Car;7;July;TwoStars;Wolfsgruener Schloss, Erz Gebirge
Journey87;Recreation;1885;4;ErzGebirge;Car;14;August;TwoStars;Wolfsgruener Schloss, Erz Gebirge
Journey88;Recreation;758;3;ErzGebirge;Car;7;September;TwoStars;Wolfsgruener Schloss, Erz Gebirge
Journey89;Wandering;1828;2;ErzGebirge;Car;14;May;ThreeStars;Hotel Am Fichtelberg, Erz Gebirge
Journey90;Wandering;918;2;ErzGebirge;Train;7;July;ThreeStars;Hotel Am Fichtelberg, Erz Gebirge
Journey91;Wandering;2738;3;ErzGebirge;Car;21;June;ThreeStars;Hotel Am Fichtelberg, Erz Gebirge
Journey92;Recreation;1828;3;ErzGebirge;Car;14;September;ThreeStars;Sporthotel, Erz Gebirge
Journey93;Recreation;918;2;ErzGebirge;Car;7;May;ThreeStars;Sporthotel, Erz Gebirge
Journey94;Wandering;1580;4;ErzGebirge;Train;7;August;FourStars;Kur- und Sporthotel, Erz Gebirge
Journey95;Wandering;958;2;ErzGebirge;Car;7;July;FourStars;Kur- und Sporthotel, Erz Gebirge
Journey96;Wandering;2385;3;ErzGebirge;Car;14;June;FourStars;Kur- und Sporthotel, Erz Gebirge
Journey97;Recreation;1372;3;ErzGebirge;Car;7;August;FourStars;Hotel Panorama, Erz Gebirge
Journey98;Recreation;2188;2;ErzGebirge;Car;14;September;FourStars;Hotel Panorama, Erz Gebirge
Journey99;Active;1098;2;ErzGebirge;Car;7;August;FourStars;Hotel Panorama, Erz Gebirge
Journey100;Recreation;478;2;Harz;Car;7;May;TwoStars;Hotel Brockenscheideck, Harz
Journey101;Wandering;948;2;Harz;Train;14;June;TwoStars;Hotel Brockenscheideck, Harz
Journey102;Recreation;1072;3;Harz;Car;7;July;ThreeStars;Hotel Waldfrieden, Harz
Journey103;Recreation;1501;4;Harz;Car;7;August;ThreeStars;Hotel Waldfrieden, Harz
Journey104;Recreation;1868;2;Harz;Car;14;September;ThreeStars;Hotel Waldfrieden, Harz
Journey105;Wandering;1172;3;Harz;Car;7;May;ThreeStars;Hotel Waldfrieden, Harz
Journey106;Recreation;1888;2;Harz;Car;7;June;FiveStars;Hotel Maritim, Harz
Journey107;Recreation;1888;3;Harz;Train;7;July;FiveStars;Hotel Maritim, Harz
Journey108;Wandering;3768;2;Harz;Car;14;May;FiveStars;Hotel Maritim, Harz
Journey109;Recreation;484;2;Harz;Car;7;August;HolidayFlat;H.Flat Harz
Journey110;Recreation;374;4;Harz;Car;7;September;HolidayFlat;H.Flat Harz
Journey111;Recreation;589;3;Harz;Car;7;June;HolidayFlat;H.Flat Harz
Journey112;Wandering;719;4;Harz;Train;7;July;HolidayFlat;H.Flat Harz
Journey113;Wandering;1248;4;Harz;Car;14;August;HolidayFlat;H.Flat Harz
Journey114;Bathing;398;2;NorthSea;Car;7;July;OneStar;Pension Murra, North Sea
Journey115;Recreation;398;2;NorthSea;Car;7;June;OneStar;Pension Murra, North Sea
Journey116;Bathing;1348;3;NorthSea;Car;7;July;TwoStars;Pension Nina, North Sea
Journey117;Bathing;1348;2;NorthSea;Car;7;August;TwoStars;Pension Nina, North Sea
Journey118;Recreation;3228;2;NorthSea;Car;14;May;TwoStars;Hotel Silbermoeve, North Sea
Journey119;Recreation;1618;2;NorthSea;Train;7;September;TwoStars;Hotel Silbermoeve, North Sea
Journey120;Bathing;719;4;NorthSea;Car;7;August;HolidayFlat;H.Flat North Sea
Journey121;Bathing;669;6;NorthSea;Car;7;July;HolidayFlat;H.Flat North Sea
Journey122;Bathing;2108;4;NorthSea;Car;14;August;HolidayFlat;H.Flat North Sea
Journey123;Recreation;579;4;NorthSea;Train;7;June;HolidayFlat;H.Flat North Sea
Journey124;Recreation;664;5;NorthSea;Car;7;July;HolidayFlat;H.Flat North Sea
Journey125;Recreation;1138;4;NorthSea;Car;14;August;HolidayFlat;H.Flat North Sea
Journey126;Active;2198;3;NorthSea;Car;14;September;HolidayFlat;H.Flat North Sea
Journey127;Recreation;1044;6;NorthSea;Train;7;June;HolidayFlat;H.Flat North Sea
Journey128;Active;719;3;NorthSea;Car;7;August;HolidayFlat;H.Flat Sylt
Journey129;Bathing;1828;2;BalticSea;Car;14;July;TwoStars;Hotel Stoertebeker, Zingst
Journey130;Bathing;918;3;BalticSea;Car;7;August;TwoStars;Hotel Stoertebeker, Zingst
Journey131;Recreation;918;2;BalticSea;Car;7;June;TwoStars;Hotel Am Leuchtturm, Warnemuende
Journey132;Recreation;1147;3;BalticSea;Train;7;September;TwoStars;Hotel Am Leuchtturm, Warnemuende
Journey133;Bathing;1047;3;BalticSea;Car;7;July;ThreeStars;Hotel Baltic, Usedom
Journey134;Bathing;2472;4;BalticSea;Car;14;August;ThreeStars;Hotel Baltic, Usedom
Journey135;Recreation;2226;3;BalticSea;Car;14;June;ThreeStars;NobisHotel, Ruegen
Journey136;Bathing;1438;2;BalticSea;Car;7;August;FourStars;Ostseehotel, Wustrow
Journey137;Active;1797;3;BalticSea;Car;7;July;FourStars;Ostseehotel, Wustrow
Journey138;Bathing;1044;4;BalticSea;Train;7;August;HolidayFlat;H.Flat Baltic Sea
Journey139;Bathing;639;2;BalticSea;Car;7;August;HolidayFlat;H.Flat Fehmarn
Journey140;Bathing;1818;2;BalticSea;Car;14;July;HolidayFlat;H.Flat, Ruegen
Journey141;Recreation;539;4;BalticSea;Car;7;June;HolidayFlat;H.Flat Baltic Sea
Journey142;Recreation;709;6;BalticSea;Car;7;May;HolidayFlat;H.Flat Baltic Sea
Journey143;Active;994;4;BalticSea;Train;14;July;HolidayFlat;H.Flat Baltic Sea
Journey144;Wandering;547;3;BlackForest;Car;7;May;TwoStars;Hotel Hirschen, Black Forest
Journey145;Recreation;868;2;BlackForest;Car;14;June;TwoStars;Hotel Hirschen, Black Forest
Journey146;Wandering;907;3;BlackForest;Car;7;July;ThreeStars;Hotel Waldwinkel, Black Forest
Journey147;Wandering;698;2;BlackForest;Car;14;August;ThreeStars;Hotel Waldwinkel, Black Forest
Journey148;Wandering;738;2;BlackForest;Train;7;September;ThreeStars;Berghotel Kandel, Black Forest
Journey149;Recreation;922;3;BlackForest;Car;7;August;ThreeStars;Berghotel Kandel, Black Forest
Journey150;Wandering;3732;4;BlackForest;Car;14;July;FourStars;Kurhotel, Black Forest
Journey151;Recreation;1138;2;BlackForest;Car;7;June;FourStars;Kurhotel, Black Forest
Journey152;Wandering;449;2;BlackForest;Train;7;May;HolidayFlat;H.Flat Black Forest
Journey153;Wandering;459;5;BlackForest;Car;7;June;HolidayFlat;H.Flat Black Forest
Journey154;Wandering;1039;3;BlackForest;Car;7;July;HolidayFlat;H.Flat Black Forest
Journey155;Wandering;2538;3;BlackForest;Car;14;August;HolidayFlat;H.Flat Black Forest
Journey156;Recreation;1313;2;BlackForest;Car;14;September;HolidayFlat;H.Flat Black Forest
Journey157;Recreation;904;6;BlackForest;Car;7;October;HolidayFlat;H.Flat Black Forest
Journey158;Recreation;984;7;BlackForest;Train;7;July;HolidayFlat;H.Flat Black Forest
Journey159;Recreation;638;2;Thuringia;Car;7;May;ThreeStars;Berghotel Oberhof, Thuringia
Journey160;Recreation;922;3;Thuringia;Car;7;August;ThreeStars;Berghotel Oberhof, Thuringia
Journey161;Active;998;2;Thuringia;Car;7;June;ThreeStars;Hotel Finsterbergen, Thuringia
Journey162;Wandering;2588;3;Thuringia;Car;14;July;ThreeStars;Hotel Finsterbergen, Thuringia
Journey163;Wandering;1377;4;Thuringia;Train;7;August;FourStars;Hotel Rennsteig, Thuringia
Journey164;Recreation;918;2;Thuringia;Car;7;September;FourStars;Hotel Rennsteig, Thuringia
Journey165;Active;2285;3;Thuringia;Car;14;August;FourStars;Hotel Rennsteig, Thuringia
Journey166;Recreation;2668;2;Thuringia;Car;14;October;FourStars;Hotel Panorama, Thuringia
Journey167;Active;1497;3;Thuringia;Car;7;August;FourStars;Hotel Panorama, Thuringia
Journey168;Active;2388;3;Thuringia;Car;14;August;FourStars;Hotel Panorama, Thuringia
Journey169;Recreation;589;4;Thuringia;Car;7;July;HolidayFlat;H.Flat Thuringia
Journey170;Recreation;1128;4;Thuringia;Train;14;June;HolidayFlat;H.Flat Thuringia
Journey171;Recreation;589;4;Thuringia;Car;7;May;HolidayFlat;H.Flat Thuringia
Journey172;Recreation;1148;4;Thuringia;Car;14;July;HolidayFlat;H.Flat Thuringia
Journey173;Wandering;574;4;Thuringia;Car;7;August;HolidayFlat;H.Flat Thuringia
Journey174;Bathing;858;4;Atlantic;Car;14;May;HolidayFlat;H.Flat Atlantik, France
Journey175;Bathing;2078;4;Atlantic;Car;14;June;HolidayFlat;H.Flat Atlantik, France
Journey176;Bathing;4718;7;Atlantic;Car;14;July;HolidayFlat;H.Flat Atlantik, France
Journey177;Bathing;1698;4;Atlantic;Car;14;August;HolidayFlat;H.Flat Atlantik, France
Journey178;Bathing;649;6;Atlantic;Car;7;September;HolidayFlat;H.Flat Atlantik, France
Journey179;Bathing;394;3;Atlantic;Car;7;June;HolidayFlat;H.Flat Atlantik, France
Journey180;Bathing;1289;5;Atlantic;Car;7;July;HolidayFlat;H.Flat Atlantik, France
Journey181;Bathing;879;4;Atlantic;Car;7;August;HolidayFlat;H.Flat Atlantik, France
Journey182;Bathing;1347;3;Atlantic;Car;21;May;HolidayFlat;H.Flat Atlantik, France
Journey183;Active;838;5;Atlantic;Car;14;June;HolidayFlat;H.Flat Atlantik, France
Journey184;Active;1938;6;Atlantic;Car;14;July;HolidayFlat;H.Flat Atlantik, France
Journey185;Active;849;6;Atlantic;Car;7;August;HolidayFlat;H.Flat Atlantik, France
Journey186;Active;1204;8;Atlantic;Car;7;June;HolidayFlat;H.Flat Atlantik, France
Journey187;Recreation;2878;8;Atlantic;Car;14;July;HolidayFlat;H.Flat Atlantik, France
Journey188;Recreation;2187;2;Atlantic;Car;21;August;HolidayFlat;H.Flat Atlantik, France
Journey189;Bathing;519;2;CotedAzur;Car;7;April;HolidayFlat;H.Flat Cote d'Azur
Journey190;Bathing;479;3;CotedAzur;Car;7;May;HolidayFlat;H.Flat Cote d'Azur
Journey191;Bathing;829;7;CotedAzur;Car;7;June;HolidayFlat;H.Flat Cote d'Azur
Journey192;Bathing;1089;5;CotedAzur;Car;7;July;HolidayFlat;H.Flat Cote d'Azur
Journey193;Bathing;1029;5;CotedAzur;Car;7;August;HolidayFlat;H.Flat Cote d'Azur
Journey194;Bathing;799;6;CotedAzur;Car;7;September;HolidayFlat;H.Flat Cote d'Azur
Journey195;Bathing;449;4;CotedAzur;Train;7;October;HolidayFlat;H.Flat Cote d'Azur
Journey196;Bathing;1198;4;CotedAzur;Car;14;May;HolidayFlat;H.Flat Cote d'Azur
Journey197;Bathing;1108;4;CotedAzur;Train;14;June;HolidayFlat;H.Flat Cote d'Azur
Journey198;Bathing;4458;7;CotedAzur;Car;14;July;HolidayFlat;H.Flat Cote d'Azur
Journey199;Active;2678;3;CotedAzur;Car;14;August;HolidayFlat;H.Flat Cote d'Azur
Journey200;Active;1598;4;CotedAzur;Car;14;September;HolidayFlat;H.Flat Cote d'Azur
Journey201;Active;589;6;CotedAzur;Car;7;May;HolidayFlat;H.Flat Cote d'Azur
Journey202;Recreation;449;2;CotedAzur;Train;7;June;HolidayFlat;H.Flat Cote d'Azur
Journey203;Recreation;1838;3;CotedAzur;Car;14;July;HolidayFlat;H.Flat Cote d'Azur
Journey204;Bathing;1539;2;Corsica;Plane;14;May;OneStar;Caravan La Pinede
Journey205;Bathing;2469;3;Corsica;Plane;14;June;OneStar;Hotel L'Esquinade
Journey206;Bathing;5269;4;Corsica;Plane;14;July;TwoStars;Feriendorf Vallicella
Journey207;Bathing;2249;3;Corsica;Plane;21;June;TwoStars;Mobilhomes La Pinede
Journey208;Bathing;1898;2;Corsica;Plane;7;August;TwoStars;Hotel Funtana Marina
Journey209;Bathing;3522;4;Corsica;Plane;7;July;TwoStars;Feriendorf Vallicella
Journey210;Bathing;3459;3;Corsica;Plane;14;August;ThreeStars;Calvi-Hotel
Journey211;Bathing;2539;2;Corsica;Plane;14;September;ThreeStars;Studios Le Rocher
Journey212;Bathing;5659;3;Corsica;Plane;21;July;ThreeStars;Hotel Pineto
Journey213;Bathing;3298;2;Corsica;Plane;14;June;ThreeStars;Hotel Orizonte
Journey214;Active;2718;2;Corsica;Plane;14;September;ThreeStars;Grand Hotel
Journey215;Active;5678;3;Corsica;Plane;21;August;ThreeStars;Grand Hotel
Journey216;Active;2038;2;Corsica;Plane;14;June;TwoStars;Mobilhomes La Pinede
Journey217;Wandering;634;1;Corsica;Plane;7;April;TwoStars;Mobilhomes La Pinede
Journey218;Wandering;2578;2;Corsica;Plane;14;May;ThreeStars;Grand Hotel
Journey219;Bathing;659;4;Normandy;Car;7;June;HolidayFlat;H.Flat Normandy
Journey220;Bathing;709;2;Normandy;Car;7;July;HolidayFlat;H.Flat Normandy
Journey221;Active;809;4;Normandy;Car;7;August;HolidayFlat;H.Flat Normandy
Journey222;Active;1418;2;Normandy;Car;14;August;HolidayFlat;H.Flat Normandy
Journey223;Recreation;1618;4;Normandy;Car;14;July;HolidayFlat;H.Flat Normandy
Journey224;Bathing;689;4;Brittany;Car;7;June;HolidayFlat;H.Flat Brittany
Journey225;Bathing;1549;7;Brittany;Car;7;July;HolidayFlat;H.Flat Brittany
Journey226;Bathing;1064;5;Brittany;Car;7;August;HolidayFlat;H.Flat Brittany
Journey227;Bathing;519;4;Brittany;Car;7;September;HolidayFlat;H.Flat Brittany
Journey228;Active;1219;6;Brittany;Car;7;August;HolidayFlat;H.Flat Brittany
Journey229;Active;889;4;Brittany;Car;7;July;HolidayFlat;H.Flat Brittany
Journey230;Active;1268;4;Brittany;Car;14;June;HolidayFlat;H.Flat Brittany
Journey231;Recreation;2108;5;Brittany;Car;14;July;HolidayFlat;H.Flat Brittany
Journey232;Recreation;1258;4;Brittany;Car;14;August;HolidayFlat;H.Flat Brittany
Journey233;Recreation;1797;4;Brittany;Car;21;June;HolidayFlat;H.Flat Brittany
Journey234;Bathing;3485;3;Attica;Plane;14;May;FourStars;Hotel Golden Coast, Attica
Journey235;Bathing;2038;2;Attica;Plane;14;April;TwoStars;Hotel Calamos Beach, Attica
Journey236;Bathing;3129;4;Attica;Plane;7;September;ThreeStars;Hotel Kalypso Club, Attica
Journey237;Bathing;2518;2;Attica;Plane;14;June;ThreeStars;Hotel Menexelis, Attica
Journey238;Bathing;3215;3;Attica;Plane;14;July;ThreeStars;Hotel Miramare, Attica
Journey239;Bathing;4002;3;Attica;Plane;21;September;FourStars;Hotel Holidays in Evia, Attica
Journey240;Bathing;3216;4;Attica;Plane;7;August;ThreeStars;Hotel Menexelis, Attica
Journey241;Bathing;1149;1;Attica;Plane;14;June;TwoStars;Hotel Calamos Beach, Attica
Journey242;Bathing;3658;2;Attica;Plane;14;July;FourStars;Hotel Golden Coast, Attica
Journey243;Bathing;3458;2;Attica;Plane;21;August;ThreeStars;Hotel Menexelis, Attica
Journey244;Bathing;2742;3;Attica;Plane;14;July;TwoStars;Hotel Calamos Beach, Attica
Journey245;Recreation;2258;2;Attica;Plane;7;June;FourStars;Hotel Golden Coast, Attica
Journey246;Recreation;1169;1;Attica;Plane;14;September;ThreeStars;Hotel Miramare, Attica
Journey247;Recreation;3215;3;Attica;Plane;14;August;ThreeStars;Hotel Miramare, Attica
Journey248;Recreation;3378;2;Attica;Plane;21;May;FourStars;Hotel Golden Coast, Attica
Journey249;Bathing;2787;3;Chalkidiki;Plane;14;July;TwoStars;Hotel Sermyli, Chalkidiki
Journey250;Bathing;4673;4;Chalkidiki;Plane;14;August;ThreeStars;Hotel Portes Beach, Chalkidiki
Journey251;Bathing;2898;2;Chalkidiki;Plane;21;September;ThreeStars;Hotel Mendi, Chalkidiki
Journey252;Bathing;2538;2;Chalkidiki;Plane;14;June;ThreeStars;Hotel Olympico, Chalkidiki
Journey253;Bathing;2427;3;Chalkidiki;Plane;7;July;ThreeStars;Hotel Olympico, Chalkidiki
Journey254;Recreation;2358;2;Chalkidiki;Plane;14;May;ThreeStars;Hotel Olympico, Chalkidiki
Journey255;Recreation;2898;2;Chalkidiki;Plane;21;September;ThreeStars;Hotel Mendi, Chalkidiki
Journey256;Recreation;2398;2;Chalkidiki;Plane;14;June;ThreeStars;Hotel Mendi, Chalkidiki
Journey257;Active;3718;3;Chalkidiki;Plane;14;July;FourStars;Hotel Sani Beach, Chalkidiki
Journey258;Active;3299;3;Chalkidiki;Plane;7;August;FourStars;Hotel Sani Beach, Chalkidik
Journey259;Active;3318;2;Chalkidiki;Plane;14;June;FourStars;Hotel Sani Beach, Chalkidik
Journey260;Recreation;5329;4;Chalkidiki;Plane;14;July;FourStars;Hotel Athos Palace, Chalkidiki
Journey261;Recreation;3258;2;Chalkidiki;Plane;21;May;FourStars;Hotel Athos Palace, Chalkidiki
Journey262;Recreation;3038;2;Chalkidiki;Plane;14;September;FourStars;Hotel Athos Palace, Chalkidiki
Journey263;Education;2738;2;Chalkidiki;Plane;21;October;FourStars;Hotel Athos Palace, Chalkidiki
Journey264;Bathing;2831;3;Corfu;Plane;14;June;TwoStars;Hotel Iliada, Corfu
